     3.800     4.000     2.000     1.000     0.000     0.979     0.000     0.021     0.000     2.000
     3.000     3.000     2.500     2.750     1.000     0.000     0.000     0.000     0.000     1.000
     1.800     2.800     3.500     3.375     0.999     0.000     0.000     0.000     0.001     1.000
     1.400     1.000     2.750     2.750     0.000     0.000     1.000     0.000     0.000     3.000
     1.800     2.200     2.000     2.000     0.026     0.000     0.000     0.000     0.974     5.000
     1.600     1.600     2.750     1.875     0.000     0.000     0.306     0.000     0.694     5.000
     3.000     3.800     1.250     2.250     0.001     0.999     0.000     0.000     0.000     2.000
     2.600     2.200     2.000     2.000     0.023     0.000     0.000     0.000     0.977     5.000
     1.000     2.800     1.000     2.625     0.999     0.000     0.000     0.000     0.001     1.000
     2.200     2.000     1.000     1.750     0.001     0.000     0.000     0.000     0.999     5.000
     2.400     2.400     2.250     2.000     0.371     0.000     0.000     0.000     0.629     5.000
     2.600     3.000     2.000     1.500     1.000     0.000     0.000     0.000     0.000     1.000
     2.800     2.400     1.750     1.500     0.286     0.000     0.000     0.000     0.714     5.000
     3.600     1.600     2.250     3.125     0.000     0.000     0.390     0.000     0.610     5.000
     1.800     1.800     2.500     2.750     0.000     0.000     0.003     0.000     0.997     5.000
     2.200     2.400     3.000     2.250     0.394     0.000     0.000     0.000     0.606     5.000
     2.200     1.800     2.000     2.000     0.000     0.000     0.011     0.000     0.989     5.000
     1.800     2.400     2.000     2.000     0.402     0.000     0.000     0.000     0.598     5.000
     1.600     2.400     2.250     2.875     0.579     0.000     0.000     0.000     0.421     1.000
     2.200     3.000     1.000     2.250     0.999     0.001     0.000     0.000     0.000     1.000
     3.800     2.600     1.750     1.875     0.923     0.000     0.000     0.000     0.077     1.000
     4.200     3.000     1.250     1.714     1.000     0.000     0.000     0.000     0.000     1.000
     1.600     2.000     3.500     2.625     0.001     0.000     0.000     0.000     0.999     5.000
     1.400     2.400     2.000     2.000     0.416     0.000     0.000     0.000     0.584     5.000
     2.600     2.000     2.000     3.000     0.002     0.000     0.000     0.000     0.998     5.000
