     3.800     4.000     2.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     3.000     3.000     2.500     2.750     0.000     0.000     0.052     0.948     0.000     0.000     4.000
     1.800     2.800     3.500     3.375     0.000     0.994     0.000     0.002     0.000     0.004     2.000
     1.400     1.000     2.750     2.750     0.000     0.000     0.005     0.995     0.000     0.000     4.000
     1.800     2.200     2.000     2.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     1.600     1.600     2.750     1.875     0.000     0.000     0.003     0.997     0.000     0.000     4.000
     3.000     3.800     1.250     2.250     0.000     0.000     0.002     0.000     0.998     0.000     5.000
     2.600     2.200     2.000     2.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     1.000     2.800     1.000     2.625     0.017     0.000     0.000     0.000     0.983     0.000     5.000
     2.200     2.000     1.000     1.750     0.507     0.000     0.000     0.000     0.493     0.000     1.000
     2.400     2.400     2.250     2.000     0.000     0.000     0.989     0.011     0.000     0.000     3.000
     2.600     3.000     2.000     1.500     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     2.800     2.400     1.750     1.500     0.000     0.000     0.996     0.000     0.004     0.000     3.000
     3.600     1.600     2.250     3.125     0.000     0.000     0.989     0.011     0.000     0.000     3.000
     1.800     1.800     2.500     2.750     0.000     0.000     0.322     0.678     0.000     0.000     4.000
     2.200     2.400     3.000     2.250     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     2.200     1.800     2.000     2.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     1.800     2.400     2.000     2.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     1.600     2.400     2.250     2.875     0.000     0.000     0.986     0.014     0.000     0.000     3.000
     2.200     3.000     1.000     2.250     0.006     0.000     0.000     0.000     0.994     0.000     5.000
     3.800     2.600     1.750     1.875     0.000     0.000     0.999     0.000     0.001     0.000     3.000
     4.200     3.000     1.250     1.714     0.004     0.000     0.001     0.000     0.995     0.000     5.000
     1.600     2.000     3.500     2.625     0.000     0.994     0.000     0.006     0.000     0.000     2.000
     1.400     2.400     2.000     2.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     2.600     2.000     2.000     3.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
         *     3.000         *         *     0.001     0.004     0.529     0.239     0.191     0.036     3.000
     2.200     2.000     2.750     2.000     0.000     0.000     0.001     0.999     0.000     0.000     4.000
     1.800     2.000     2.250     1.500     0.000     0.000     0.996     0.004     0.000     0.000     3.000
     2.800     2.800     3.000     2.750     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     2.000     3.600     1.250     1.000     0.000     0.000     0.000     0.000     1.000     0.000     5.000
     3.800     4.000     2.750     1.000     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     2.400     2.600     2.500     2.000     0.000     0.000     0.163     0.837     0.000     0.000     4.000
     3.400     4.000     1.667     1.125     0.000     0.000     0.994     0.000     0.006     0.000     3.000
     4.800     4.000     4.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     6.000
     2.400     2.200     2.500     2.875     0.000     0.000     0.165     0.835     0.000     0.000     4.000
     2.800     3.000     1.000     2.250     0.006     0.000     0.000     0.000     0.994     0.000     5.000
     1.800     3.000     2.250     3.625     0.000     0.000     0.944     0.056     0.000     0.000     3.000
     1.600     2.400     2.500     2.125     0.000     0.000     0.244     0.756     0.000     0.000     4.000
     1.000     4.000     2.000     1.500     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     1.000     2.000     3.000     2.000     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     3.200     3.400     1.750     2.250     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     2.400     2.000     1.750     2.250     0.001     0.000     0.995     0.000     0.004     0.000     3.000
     2.400     3.000     4.000     2.125     0.000     0.023     0.000     0.000     0.000     0.977     6.000
     2.600     3.000     2.250     2.000     0.000     0.000     0.973     0.027     0.000     0.000     3.000
     1.400     2.600     3.000     2.250     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     2.800     3.000     4.000     2.286     0.000     0.012     0.000     0.000     0.000     0.988     6.000
     3.000     3.400     4.000     1.375     0.000     0.001     0.000     0.000     0.000     0.999     6.000
     2.000     3.400     1.750     1.500     0.000     0.000     0.997     0.000     0.003     0.000     3.000
     2.600     2.800     2.250     1.667     0.000     0.000     0.983     0.017     0.000     0.000     3.000
     1.800     1.600     3.750     2.286     0.000     0.996     0.000     0.000     0.000     0.004     2.000
     2.600     3.400     1.750     1.750     0.000     0.000     0.999     0.000     0.001     0.000     3.000
     2.800     3.200     1.250     1.125     0.002     0.000     0.000     0.000     0.998     0.000     5.000
     2.400     2.800     2.750     3.000     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     3.200     3.000     2.667     2.250     0.000     0.000     0.001     0.999     0.000     0.000     4.000
     1.000     2.600     2.000     2.375     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     3.200     3.000     1.000     2.625     0.006     0.000     0.000     0.000     0.994     0.000     5.000
     4.000     2.800     2.500     3.000     0.000     0.000     0.041     0.959     0.000     0.000     4.000
     3.000     3.000     2.000     2.625     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     3.000     4.000     3.667     1.000     0.000     0.002     0.000     0.000     0.000     0.998     6.000
     2.400     3.000     3.000     2.875     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     2.800     2.600     3.000     1.500     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     3.000     3.000     2.750     2.125     0.000     0.000     0.000     1.000     0.000     0.000     4.000
     2.600     4.000     2.000     1.750     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     3.000     2.000     2.750     2.000     0.000     0.000     0.001     0.999     0.000     0.000     4.000
     2.200     2.400     4.000     2.000     0.000     0.201     0.000     0.000     0.000     0.799     6.000
     3.400     4.000     2.500     2.000     0.000     0.000     0.018     0.982     0.000     0.000     4.000
     3.200     3.000     2.500     1.875     0.000     0.000     0.082     0.918     0.000     0.000     4.000
     3.400     3.750     1.250     2.143     0.000     0.000     0.002     0.000     0.998     0.000     5.000
     2.000     2.000     2.500     2.250     0.000     0.000     0.313     0.687     0.000     0.000     4.000
     3.400     3.800     1.000     1.250     0.000     0.000     0.000     0.000     1.000     0.000     5.000
     2.800     4.000     2.000     2.000     0.000     0.000     1.000     0.000     0.000     0.000     3.000
     2.000     3.000     1.000     1.750     0.007     0.000     0.000     0.000     0.993     0.000     5.000
